"n","region","cod","capital","zona","eje","meta","ministerios","prioridad","plazo"
"1","Arica y Parinacota","XV","Arica","Norte Grande","Seguridad y Orden Público","Reforzar contingente FF.AA. en frontera norte y paso Chacalluta · Plan Fronterizo Macrozona Norte con presencia permanente y capacidades de disuasión frente al crimen organizado transnacional","Min. Defensa Nacional
Min. del Interior y Seguridad Pública
Min. de Relaciones Exteriores (MINREL)","Alta","2026–2027"
"2","Arica y Parinacota","XV","Arica","Norte Grande","Infraestructura y Conectividad","Modernizar el paso fronterizo Chacalluta como infraestructura crítica nacional: habilitación tecnológica, control biométrico y mejora de flujos migratorios regulares","Min. de Relaciones Exteriores
Min. de Obras Públicas (MOP)
Min. del Interior","Alta","2026–2027"
"3","Arica y Parinacota","XV","Arica","Norte Grande","Desarrollo Económico y Empleo","Establecer mecanismos de cooperación para migración ordenada, regular y segura en la frontera norte · Coordinación multilateral con Bolivia y Perú","Min. de Relaciones Exteriores
Min. del Interior
Gobierno Regional","Alta","2026–2027"
"4","Arica y Parinacota","XV","Arica","Norte Grande","Vivienda y Urbanismo","Ampliar oferta de vivienda social en zonas fronterizas · Reducir déficit habitacional en comunas con alta presión migratoria, priorizando lista de espera de familias chilenas","MINVU (Seremi / Serviu XV)
Min. de Bienes Nacionales
Gobierno Regional","Alta","2026–2027"
"5","Tarapacá","I","Iquique","Norte Grande","Seguridad y Orden Público","Implementar Plan Fronterizo con FF.AA. en Colchane y pasos no habilitados de la precordillera · Despliegue coordinado con PDI y Carabineros para control de ingreso clandestino","Min. Defensa Nacional
Min. del Interior y Seguridad Pública
Min. de Seguridad Pública","Alta","2026–2027"
"6","Tarapacá","I","Iquique","Norte Grande","Desarrollo Económico y Empleo","Potenciar Zona Franca de Iquique (ZOFRI) como hub comercial regional y plataforma de exportación hacia el norte de Chile y el Cono Sur","Min. de Hacienda
Min. de Economía, Fomento y Turismo
Gobierno Regional","Alta","2026–2027"
"7","Tarapacá","I","Iquique","Norte Grande","Energía y Transición Energética","Desarrollar capacidades de almacenamiento energético a gran escala asociadas a las ERNC del desierto · Pilotos de baterías para reducir el vertimiento solar y estabilizar el SEN en el norte","Min. de Energía
Min. de Minería
Gobierno Regional","Media","2027–2028"
"8","Antofagasta","II","Antofagasta","Norte Grande","Desarrollo Económico y Empleo","Redefinir estrategia nacional del Litio con impacto directo en royalty, empleos locales y encadenamiento productivo regional · Establecer estatuto especial para Tierras Raras e inversiones estratégicas mineras","Min. de Minería
Min. de Hacienda
Gobierno Regional","Alta","2026–2027"
"9","Antofagasta","II","Antofagasta","Norte Grande","Medio Ambiente y Territorio","Gestión hídrica prioritaria: avanzar en embalses y sistemas de agua para el consumo humano, la minería y las comunidades indígenas del altiplano · Articulación MOP-DGA con sector minero","Min. de Obras Públicas (DGA)
Min. de Minería
Min. de Agricultura","Alta","2026–2027"
"10","Antofagasta","II","Antofagasta","Norte Grande","Energía y Transición Energética","Desarrollar el Polo de Hidrógeno Verde del norte: producción H2V con energía solar del Desierto de Atacama orientada a exportación · Implementar sandboxes regulatorios para almacenamiento e innovación minero-energética","Min. de Energía
Min. de Minería
Min. de Relaciones Exteriores","Alta","2026–2027"
"11","Antofagasta","II","Antofagasta","Norte Grande","Vivienda y Urbanismo","Reducir déficit habitacional cuantitativo regional: priorizar entrega de subsidios DS49 para segmentos vulnerables y acelerar proyectos Serviu en ciudades mineras (Antofagasta, Calama, Tocopilla)","MINVU (Seremi / Serviu II)
Min. de Bienes Nacionales
Gobierno Regional","Alta","2026–2027"
"12","Atacama","III","Copiapó","Norte Chico","Infraestructura y Conectividad","Dar inicio a obras de Concesión Nuevo Establecimiento Penitenciario de Copiapó · Hito del Plan de Infraestructura Penitenciaria 2026–2030 del gobierno","Min. de Obras Públicas (MOP)
Min. de Justicia y Derechos Humanos
Gobierno Regional","Alta","2026–2027"
"13","Atacama","III","Copiapó","Norte Chico","Medio Ambiente y Territorio","Plan de recuperación y gestión hídrica en cuencas afectadas por la megasequía de Atacama · Énfasis en ríos Copiapó y Huasco: embalses, pozos y sistemas de agua potable rural","Min. de Obras Públicas (DGA)
Min. de Agricultura
Min. de Medio Ambiente","Alta","2026–2027"
"14","Atacama","III","Copiapó","Norte Chico","Desarrollo Económico y Empleo","Fomentar la exploración minera con disponibilidad de información geológica (SERNAGEOMIN) y simplificar el sistema de concesiones mineras y servidumbres en terrenos fiscales","Min. de Minería
Min. de Bienes Nacionales
Gobierno Regional","Alta","2026–2027"
"15","Atacama","III","Copiapó","Norte Chico","Energía y Transición Energética","Impulsar proyectos de energía solar fotovoltaica en terrenos fiscales de la región · Aprovechar la mayor radiación solar del mundo para ampliar la capacidad renovable del SEN","Min. de Energía
Min. de Bienes Nacionales
Min. de Medio Ambiente","Alta","2026–2027"
"16","Coquimbo","IV","La Serena","Norte Chico","Desarrollo Económico y Empleo","Reactivar el sector frutícola exportador con apoyo fitosanitario del SAG, financiamiento CORFO y apertura de mercados · Recuperación de exportaciones agrícolas post-sequía","Min. de Agricultura (SAG)
Min. de Economía, Fomento y Turismo
CORFO","Alta","2026–2027"
"17","Coquimbo","IV","La Serena","Norte Chico","Infraestructura y Conectividad","Avanzar en obras de embalses para seguridad hídrica agrícola · Priorizar proyecto Embalse La Tranca y sistemas de riego en el valle del Elqui, Limarí y Choapa","Min. de Obras Públicas
Min. de Agricultura
Gobierno Regional","Alta","2026–2027"
"18","Coquimbo","IV","La Serena","Norte Chico","Modernización e Innovación","Fortalecer capacidades en astronomía e I+D para posicionar la región como polo científico global · Articular universidades observatorios y sector privado bajo la marca Chile Tecnológico","Min. de Ciencia, Tecnología, Conocimiento e Innovación
ANID
Gobierno Regional","Media","2027–2028"
"19","Coquimbo","IV","La Serena","Norte Chico","Vivienda y Urbanismo","Implementar Operación Sitio 3.0 en la región: subsidios de hasta 1.000 UF para adquisición de terrenos urbanos y agilización de permisos para reducir el precio de viviendas nuevas","MINVU (Seremi / Serviu IV)
Min. de Bienes Nacionales
Gobierno Regional","Media","2027–2028"
"20","Valparaíso","V","Valparaíso","Zona Central","Infraestructura y Conectividad","Puesta en servicio provisional Ruta 78-68 (conexión Santiago–Valparaíso) · Inaugurar ampliación Puente Lo Gallardo en Ruta 68, San Antonio · Ejecutar plan de expansión portuaria de Valparaíso","Min. de Obras Públicas (MOP)
Min. de Transportes y Telecomunicaciones
Gobierno Regional","Alta","2026–2027"
"21","Valparaíso","V","Valparaíso","Zona Central","Vivienda y Urbanismo","Finalizar Plan de Reconstrucción post-incendios 2024: entregar el 70% de viviendas pendientes en 15 meses · Relocalizar campamentos en zonas de riesgo forestal con fondos del Proyecto Ley de Reconstrucción Nacional","MINVU (Seremi / Serviu V)
Min. del Interior y Seguridad Pública
Min. de Desarrollo Social y Familia","Alta","2026–2027"
"22","Valparaíso","V","Valparaíso","Zona Central","Energía y Transición Energética","Ampliar infraestructura de electromovilidad en el Gran Valparaíso: cargadores públicos y flotas eléctricas en transporte público, en el marco del Acuerdo Público-Privado de Electromovilidad 2026","Min. de Energía
Min. de Transportes y Telecomunicaciones
Gobierno Regional","Media","2027–2028"
"23","Metropolitana","RM","Santiago","Zona Central","Infraestructura y Conectividad","Puesta en servicio de Américo Vespucio Oriente y avanzar en extensión L7 del Metro · Plan de retarificación de autopistas urbanas y reducción del déficit de la Red Metropolitana","Min. de Transportes y Telecomunicaciones (Subtrans)
Min. de Obras Públicas
Min. de Hacienda","Alta","2026–2027"
"24","Metropolitana","RM","Santiago","Zona Central","Seguridad y Orden Público","Intervención en los 152 barrios críticos del país priorizando la RM · Programa Nacional de Recuperación de Barrios: erradicación de tomas irregulares tomadas por el narco y recuperación del espacio público","Min. del Interior y Seguridad Pública
Min. de Seguridad Pública
Gobierno Regional","Alta","2026–2027"
"25","Metropolitana","RM","Santiago","Zona Central","Vivienda y Urbanismo","Lanzar Operación Sitio 3.0 · Impulsar Ley de eliminación gradual de contribuciones para 1ª vivienda comenzando por adultos mayores · Modificar OGUC para reducir precio de viviendas nuevas","MINVU
Min. de Hacienda
Min. de Bienes Nacionales
SEGPRES","Alta","2026–2027"
"26","Metropolitana","RM","Santiago","Zona Central","Energía y Transición Energética","Fortalecer la gobernanza del sistema eléctrico nacional: perfeccionar CNE, SEC y Coordinador Eléctrico Nacional para prevenir cortes masivos y modernizar la regulación tarifaria de distribución","Min. de Energía
Min. de Hacienda
SEGPRES","Alta","2026–2027"
"27","Metropolitana","RM","Santiago","Zona Central","Medio Ambiente y Territorio","Implementar el plan de descontaminación atmosférica de la RM: revisar y actualizar el PPDA y reducir smog en zonas saturadas · Gestionar el SEIA para agilizar proyectos con impacto en la capital","Min. de Medio Ambiente
Min. de Transportes y Telecomunicaciones
Gobierno Regional","Alta","2026–2027"
"28","O'Higgins","VI","Rancagua","Zona Central","Desarrollo Económico y Empleo","Potenciar la minería del cobre con modernización de CODELCO División El Teniente · Reactivar el sector vitivinícola y frutícola con apoyo fitosanitario del SAG y apertura de mercados con PROCHILE","Min. de Minería
Min. de Agricultura (SAG)
Min. de Relaciones Exteriores / PROCHILE","Alta","2026–2027"
"29","O'Higgins","VI","Rancagua","Zona Central","Infraestructura y Conectividad","Mejorar conectividad vial hacia zonas agrícolas y cordilleranas de la región · Avanzar en concesiones de rutas que conectan los valles productivos del Cachapoal y Colchagua con mercados urbanos","Min. de Obras Públicas
Gobierno Regional","Media","2027–2028"
"30","O'Higgins","VI","Rancagua","Zona Central","Vivienda y Urbanismo","Erradicar campamentos en zonas de riesgo de inundación y remoción en masa: reubicar familias hacia suelo seguro con subsidios habitacionales en plazo definido · Priorizar orden de prelación estricto","MINVU (Seremi / Serviu VI)
Min. de Bienes Nacionales
Gobierno Regional","Media","2027–2028"
"31","Maule","VII","Talca","Zona Central","Seguridad y Orden Público","Implementar Plan Integral de Seguridad Rural para combatir robo de madera, abigeato e incendios provocados · Despliegue conjunto Carabineros-SAG-CONAF en zonas rurales críticas del Maule","Min. de Agricultura
Min. de Seguridad Pública
Carabineros de Chile","Alta","2026–2027"
"32","Maule","VII","Talca","Zona Central","Desarrollo Económico y Empleo","Fortalecer el control fitosanitario del SAG para exportaciones agrícolas y vitivinícolas del Maule · Implementar Biblioteca Digital Estratégica del Agro para productores regionales","Min. de Agricultura (SAG)
Min. de Economía, Fomento y Turismo
Gobierno Regional","Alta","2026–2027"
"33","Maule","VII","Talca","Zona Central","Infraestructura y Conectividad","Avanzar en obras de riego y embalses para enfrentar el déficit hídrico agrícola · Priorizar sistemas de riego tecnificado en valles del Maule, Mataquito y Loncomilla","Min. de Obras Públicas
Min. de Agricultura
Gobierno Regional","Alta","2026–2027"
"34","'uble","XVI","Chillán","Zona Central","Vivienda y Urbanismo","Conducir Plan de Reconstrucción post-incendios en Ninhue y Santa Juana: entrega de soluciones habitacionales definitivas con Fondos Especiales Transitorios del Proyecto Ley de Reconstrucción Nacional","MINVU (Seremi / Serviu XVI)
Min. del Interior y Seguridad Pública
Min. de Desarrollo Social y Familia","Alta","2026–2027"
"35","'uble","XVI","Chillán","Zona Central","Energía y Transición Energética","Poner en operación las Subestaciones Punilla y Quinchamalí: fortalecer la infraestructura eléctrica regional para garantizar suministro robusto y habilitar futuras inversiones productivas en la región","Min. de Energía
Min. de Obras Públicas
Gobierno Regional","Alta","2026–2027"
"36","'uble","XVI","Chillán","Zona Central","Seguridad y Orden Público","Consolidar planes de seguridad rural ante incendios forestales · Fortalecer plan de prevención y control de incendios para la temporada 2026–2027 en coordinación CONAF-Carabineros","Min. de Agricultura (CONAF)
Min. de Seguridad Pública
Gobierno Regional","Alta","2026–2027"
"37","'uble","XVI","Chillán","Zona Central","Infraestructura y Conectividad","Mejorar la red caminera rural para conectividad agrícola y productiva · Gestionar vialidad básica en comunas aisladas de la Cordillera de Chillán con énfasis en el acceso post-incendios","Min. de Obras Públicas
Gobierno Regional","Media","2027–2028"
"38","Biobío","VIII","Concepción","Sur","Infraestructura y Conectividad","Avanzar en Plan de Trenes Suburbanos para conectar Concepción con comunas del Gran Biobío · Recuperar conectividad vial en Penco y Lirquén afectadas por los incendios de enero 2026","Min. de Transportes y Telecomunicaciones (Subtrans)
Min. de Obras Públicas
Gobierno Regional","Alta","2026–2027"
"39","Biobío","VIII","Concepción","Sur","Seguridad y Orden Público","Combatir el crimen organizado en el Gran Concepción con intervención de barrios críticos · Implementar el Plan Escudo Fronterizo en sectores de mayor vulnerabilidad criminal de la región","Min. de Seguridad Pública
Min. del Interior y Seguridad Pública
Gobierno Regional","Alta","2026–2027"
"40","Biobío","VIII","Concepción","Sur","Vivienda y Urbanismo","Conducir Plan de Reconstrucción post-incendios en Penco y Lirquén (enero 2026): acelerar entrega de subsidios habitacionales de emergencia y arriendo para familias damnificadas · Intervenir barrios críticos tomados por el narco en el Gran Concepción","MINVU (Seremi / Serviu VIII)
Min. del Interior
Min. de Desarrollo Social y Familia","Alta","2026–2027"
"41","Biobío","VIII","Concepción","Sur","Energía y Transición Energética","Promover la transición del carbón a ERNC en la región: apoyar reconversión laboral de trabajadores del sector carbonífero de Coronel y Lota en el marco de la transición energética justa","Min. de Energía
Min. de Trabajo y Previsión Social
Gobierno Regional","Alta","2026–2027"
"42","Biobío","VIII","Concepción","Sur","Desarrollo Económico y Empleo","Desarrollar polos industriales y tecnológicos en terrenos fiscales: aprovechar infraestructura naval de ASMAR y conectividad portuaria del Gran Concepción para atraer inversión productiva de alto valor","Min. de Bienes Nacionales
Min. Defensa Nacional
Min. de Economía, Fomento y Turismo","Alta","2026–2027"
"43","La Araucanía","IX","Temuco","Sur","Seguridad y Orden Público","Renovar y evaluar el Estado de Excepción en la Macrozona Sur con plan operativo renovado de FF.AA. · Desarrollar programa de intervención focalizada contra el terrorismo en la MZS","Min. Defensa Nacional
Min. del Interior y Seguridad Pública
Min. de Seguridad Pública","Alta","2026–2027"
"44","La Araucanía","IX","Temuco","Sur","Desarrollo Social y Familia","Realizar catastro oficial de grupos humanos pertenecientes a pueblos indígenas (GAHPIS) · Implementar consulta indígena con plazos fatales y eliminar instrumentalización política del proceso","Min. de Desarrollo Social y Familia
Min. de Minería
Gobierno Regional","Alta","2026–2027"
"45","La Araucanía","IX","Temuco","Sur","Desarrollo Económico y Empleo","Plan de reconversión económica y turismo sustentable en territorios rurales afectados por la violencia · Articular con Sercotec, CORFO e IND para reactivación productiva de las comunas más afectadas","Min. de Economía, Fomento y Turismo (Turismo)
Min. de Agricultura
Gobierno Regional","Alta","2026–2027"
"46","La Araucanía","IX","Temuco","Sur","Vivienda y Urbanismo","Implementar programa de vivienda rural con pertinencia intercultural: soluciones habitacionales para comunidades indígenas coordinadas con el proceso de consulta · Erradicar ocupaciones irregulares de terrenos fiscales","MINVU (Seremi / Serviu IX)
Min. de Desarrollo Social y Familia
Gobierno Regional","Alta","2026–2027"
"47","La Araucanía","IX","Temuco","Sur","Energía y Transición Energética","Ampliar acceso a energía en comunidades rurales e indígenas de la MZS: programa de leña seca certificada, paneles solares y eficiencia energética en viviendas rurales aisladas","Min. de Energía (Seremi)
Min. de Desarrollo Social y Familia
Gobierno Regional","Alta","2026–2027"
"48","Los Ríos","XIV","Valdivia","Sur","Infraestructura y Conectividad","Inaugurar ampliación del Aeródromo Pichoy de Valdivia para mejorar la conectividad aérea regional · Avanzar en plan de conservación de rutas de la Carretera Austral en la región","Min. de Obras Públicas
Min. de Transportes y Telecomunicaciones
Gobierno Regional","Alta","2026–2027"
"49","Los Ríos","XIV","Valdivia","Sur","Desarrollo Económico y Empleo","Fortalecer la industria forestal y maderera con la Nueva Ley de Fomento Forestal y la transformación institucional CONAF–SERNAFOR · Impulsar silvicultura sustentable y manejo del bosque nativo","Min. de Agricultura (CONAF / SERNAFOR)
Min. de Medio Ambiente
Gobierno Regional","Alta","2026–2027"
"50","Los Ríos","XIV","Valdivia","Sur","Medio Ambiente y Territorio","Correcta implementación del SBAP en humedales costeros y áreas protegidas de la región · Racionalizar la normativa de humedales urbanos para evitar obstáculos a proyectos productivos sustentables","Min. de Medio Ambiente
Min. de Agricultura
Gobierno Regional","Media","2027–2028"
"51","Los Ríos","XIV","Valdivia","Sur","Energía y Transición Energética","Fomentar generación hidroeléctrica de pequeña escala y biomasa forestal como energía renovable local · Aprovechar la vocación forestal e hídrica de la región para reducir dependencia del SEN","Min. de Energía (Seremi)
Min. de Agricultura
Gobierno Regional","Media","2027–2028"
"52","Los Lagos","X","Puerto Montt","Sur","Infraestructura y Conectividad","Inaugurar el Puente sobre el Canal de Chacao: hito estructural definitivo para la conectividad sur-austral · Continuar la Ruta 7 entre Cerro Castillo y Cochrane como corredor austral estratégico","Min. de Obras Públicas (MOP)
Gobierno Regional","Alta","2026–2027"
"53","Los Lagos","X","Puerto Montt","Sur","Desarrollo Económico y Empleo","Modernización regulatoria de la acuicultura al 2050: sistema de trazabilidad, prevención de pesca ilegal y fortalecimiento de planes de manejo · Impulsar concesiones marítimas ágiles con procedimientos interministeriales","Min. de Economía, Fomento y Turismo (Pesca y Acuicultura)
Min. Defensa Nacional (Armada)
Gobierno Regional","Alta","2026–2027"
"54","Los Lagos","X","Puerto Montt","Sur","Vivienda y Urbanismo","Ampliar la oferta habitacional en zonas insulares y de difícil acceso · Adaptar programas SERVIU a la geografía de archipiélagos y fiordos con subsidios específicos para Chiloé, Palena y Cochamó","MINVU (Seremi / Serviu X)
Min. de Obras Públicas
Gobierno Regional","Media","2027–2028"
"55","Los Lagos","X","Puerto Montt","Sur","Energía y Transición Energética","Impulsar la electromovilidad en ferries y embarcaciones menores en los fiordos: pilotos de propulsión eléctrica e infraestructura de carga en puertos y terminales lacustres de la región","Min. de Energía
Min. de Transportes y Telecomunicaciones
Gobierno Regional","Media","2027–2028"
"56","Aysén","XI","Coyhaique","Austral","Infraestructura y Conectividad","Continuar la Ruta 7 (Carretera Austral) con mejoramiento en Cuesta Queulat y tramo Cerro Castillo–Cochrane · Cerrar la brecha digital territorial con fibra óptica y 5G en localidades aisladas","Min. de Obras Públicas
Min. de Transportes y Telecomunicaciones (Subtel)
Gobierno Regional","Alta","2026–2027"
"57","Aysén","XI","Coyhaique","Austral","Medio Ambiente y Territorio","Fortalecer la estrategia Chile 2A (Austral-Antártico): presencia soberana, investigación científica y desarrollo territorial en la Patagonia · Articular con Cancillería la posición antártica chilena","Min. Defensa Nacional
Min. de Relaciones Exteriores
Gobierno Regional","Alta","2026–2027"
"58","Aysén","XI","Coyhaique","Austral","Desarrollo Económico y Empleo","Otorgar concesiones turísticas de largo plazo en áreas Silvestres Protegidas patagónicas · Implementar plan de inversión ecoturística con estándares internacionales en la Patagonia chilena","Min. de Economía, Fomento y Turismo (Turismo)
CONAF
Gobierno Regional","Alta","2026–2027"
"59","Aysén","XI","Coyhaique","Austral","Energía y Transición Energética","Implementar la Agenda Regional de Energía Aysén: diversificar la matriz energética local (hídrica, eólica, biomasa), reducir dependencia del diésel en localidades aisladas y mejorar la resiliencia del sistema eléctrico","Min. de Energía (Seremi)
Gobierno Regional
Min. de Bienes Nacionales","Alta","2026–2027"
"60","Magallanes y Antártica","XII","Punta Arenas","Austral","Medio Ambiente y Territorio","Fortalecer la presencia soberana antártica: proyectos de I+D en el continente helado, visita de autoridades e instalaciones de investigación de largo plazo · Inaugurar conservación mayor del Aeródromo Teniente Marsh","Min. Defensa Nacional
Min. de Relaciones Exteriores
Min. de Ciencia, Tecnología, Conocimiento e Innovación","Alta","2026–2027"
"61","Magallanes y Antártica","XII","Punta Arenas","Austral","Energía y Transición Energética","Concretar integración energética con Argentina: interconexión del sistema eléctrico austral · Consolidar a Magallanes como hub de Hidrógeno Verde de exportación aprovechando el viento patagónico (proyectos HIF, Cabo Negro)","Min. de Energía
Min. de Relaciones Exteriores
Min. de Economía, Fomento y Turismo","Alta","2026–2027"
"62","Magallanes y Antártica","XII","Punta Arenas","Austral","Desarrollo Económico y Empleo","Otorgar concesiones turísticas de largo plazo en Torres del Paine y áreas patagónicas protegidas · Reasignar recursos de proyectos cancelados ($22 mil millones) a soluciones habitacionales para familias en lista de espera","Min. de Economía, Fomento y Turismo (Turismo)
CONAF
MINVU / Min. de Hacienda","Alta","2026–2027"
"63","Magallanes y Antártica","XII","Punta Arenas","Austral","Infraestructura y Conectividad","Completar la infraestructura del Plan Escudo Fronterizo en el extremo austral · Firmar convenio repotenciado de la Ruta Yendegaia (CMT-MOP) en Tierra del Fuego","Min. de Obras Públicas
Min. del Interior
Min. Defensa Nacional","Alta","2026–2027"
